delta,sim,method,coverage_overall,coverage_high_vol,coverage_low_vol
0.25,82,standard,0.884,0.856,0.912
0.25,82,saci,0.892,0.872,0.912
0.25,82,vol_scaling,0.832,0.976,0.688
0.25,83,standard,0.888,0.864,0.912
0.25,83,saci,0.872,0.896,0.848
0.25,83,vol_scaling,0.812,0.96,0.664
0.25,84,standard,0.92,0.896,0.944
0.25,84,saci,0.908,0.88,0.936
0.25,84,vol_scaling,0.872,0.984,0.76
0.25,85,standard,0.932,0.872,0.992
0.25,85,saci,0.936,0.88,0.992
0.25,85,vol_scaling,0.912,0.968,0.856
0.25,86,standard,0.88,0.848,0.912
0.25,86,saci,0.88,0.872,0.888
0.25,86,vol_scaling,0.848,1.0,0.696
0.25,87,standard,0.892,0.88,0.904
0.25,87,saci,0.892,0.88,0.904
0.25,87,vol_scaling,0.86,0.976,0.744
0.25,88,standard,0.876,0.84,0.912
0.25,88,saci,0.872,0.832,0.912
0.25,88,vol_scaling,0.832,0.984,0.68
0.25,89,standard,0.916,0.896,0.936
0.25,89,saci,0.912,0.896,0.928
0.25,89,vol_scaling,0.876,0.984,0.768
0.25,90,standard,0.872,0.848,0.896
0.25,90,saci,0.868,0.84,0.896
0.25,90,vol_scaling,0.836,0.984,0.688
0.25,91,standard,0.868,0.864,0.872
0.25,91,saci,0.856,0.848,0.864
0.25,91,vol_scaling,0.8,0.944,0.656
0.25,92,standard,0.892,0.888,0.896
0.25,92,saci,0.892,0.896,0.888
0.25,92,vol_scaling,0.872,1.0,0.744
0.25,93,standard,0.92,0.888,0.952
0.25,93,saci,0.924,0.912,0.936
0.25,93,vol_scaling,0.888,0.992,0.784
0.25,94,standard,0.88,0.84,0.92
0.25,94,saci,0.88,0.824,0.936
0.25,94,vol_scaling,0.828,0.976,0.68
0.25,95,standard,0.868,0.872,0.864
0.25,95,saci,0.856,0.872,0.84
0.25,95,vol_scaling,0.784,0.936,0.632
0.25,96,standard,0.876,0.824,0.928
0.25,96,saci,0.864,0.816,0.912
0.25,96,vol_scaling,0.836,1.0,0.672
0.25,97,standard,0.924,0.92,0.928
0.25,97,saci,0.928,0.928,0.928
0.25,97,vol_scaling,0.848,1.0,0.696
0.25,98,standard,0.964,0.976,0.952
0.25,98,saci,0.936,0.96,0.912
0.25,98,vol_scaling,0.876,1.0,0.752
0.25,99,standard,0.9,0.88,0.92
0.25,99,saci,0.884,0.88,0.888
0.25,99,vol_scaling,0.808,0.968,0.648
0.5,0,standard,0.896,0.856,0.936
0.5,0,saci,0.88,0.88,0.88
0.5,0,vol_scaling,0.868,0.96,0.776
0.5,1,standard,0.9,0.904,0.896
0.5,1,saci,0.892,0.896,0.888
0.5,1,vol_scaling,0.804,0.96,0.648
0.5,2,standard,0.976,0.96,0.992
0.5,2,saci,0.96,0.952,0.968
0.5,2,vol_scaling,0.892,0.992,0.792
0.5,3,standard,0.888,0.856,0.92
0.5,3,saci,0.876,0.872,0.88
0.5,3,vol_scaling,0.816,0.952,0.68
0.5,4,standard,0.912,0.896,0.928
0.5,4,saci,0.912,0.904,0.92
0.5,4,vol_scaling,0.832,0.96,0.704
